Animal ID,Animal Type,Total Days,Excluded Days,LOS,Age (years),Incoming Source,Incoming Date,Incoming Region,Status Date,Outgoing Eval Cat
411363,Rabbit,17.81,0,17.81,1,Returns,01/27/2017 16:02,Sunshine Coast Branch ,02/14/2017 11:26,H
511149,Rabbit,106.92,89.19,17.73,0,ACO Impound,05/26/2020 20:52,Burnaby Branch,09/11/2020 14:22,H
520983,Rabbit,101.31,83.97,17.34,0,Cruelty Case Offspring,11/27/2020 08:53,Vernon & District Branch,03/08/2021 16:14,TR
454475,Rabbit,17.31,0,17.31,0,Stray,02/13/2018 09:18,Maple Ridge Branch,03/02/2018 16:50,H
520860,Rabbit,96.19,78.92,17.28,0,Cruelty Case Offspring,11/25/2020 10:18,Vernon & District Branch,03/01/2021 14:57,TR
537128,Rabbit,17.22,0,17.22,4,Stray,10/12/2021 10:39,Burnaby Branch,10/29/2021 15:58,TR
478917,Rabbit,36.96,19.76,17.2,0,Humane Officer Seized,01/09/2019 16:39,Chilliwack Branch,02/15/2019 15:39,TR
537113,Rabbit,17.19,0,17.19,1,ACO Impound,10/11/2021 10:30,Maple Ridge Branch,10/28/2021 15:07,TR
454003,Rabbit,17.18,0,17.18,2,Stray,02/04/2018 12:54,Maple Ridge Branch,02/21/2018 17:07,H
527467,Rabbit,17.12,0,17.12,0,Stray,04/24/2021 13:37,Vancouver Branch,05/11/2021 16:25,H
520982,Rabbit,100.2,83.09,17.12,0,Cruelty Case Offspring,11/27/2020 08:53,Vernon & District Branch,03/07/2021 13:45,TR
447339,Rabbit,17.12,0,17.12,0,Owner Surrender,10/29/2017 14:19,Victoria Branch,11/15/2017 17:15,TR
522916,Rabbit,17.08,0,17.08,3,Stray,01/17/2021 11:18,Vernon & District Branch,02/03/2021 13:20,H
520984,Rabbit,100.2,83.15,17.06,0,Cruelty Case Offspring,11/27/2020 08:53,Vernon & District Branch,03/07/2021 13:45,TR
425387,Rabbit,17.05,0,17.05,1,Stray,02/08/2017 10:01,Nanaimo & District Branch,02/25/2017 11:09,UU
520509,Rabbit,17.03,0,17.03,2,Stray,11/18/2020 11:59,Cowichan & District Branch,12/05/2020 12:39,H
533046,Rabbit,17.03,0,17.03,1,Stray,08/03/2021 12:48,Maple Ridge Branch,08/20/2021 13:28,H
536623,Rabbit,65.82,48.8,17.02,1,Stray,10/01/2021 16:18,South Peace Branch,12/06/2021 11:55,H
530538,Rabbit,17.02,0,17.02,0,Stray,06/19/2021 12:13,Williams Lake & District Branch,07/06/2021 12:48,H
434354,Rabbit,17.01,0,17.01,2,Stray,06/04/2017 16:24,Burnaby Branch,06/21/2017 16:40,H
503924,Rabbit,17.01,0,17.01,2,Owner Surrender,12/19/2019 12:08,Victoria Branch,01/05/2020 12:22,TM
489463,Rabbit,17,0,17,0,Stray,06/06/2019 12:28,North Peace Branch,06/23/2019 12:25,H
489464,Rabbit,17,0,17,0,Stray,06/06/2019 12:28,North Peace Branch,06/23/2019 12:25,H
522169,Rabbit,17,0,17,2,Stray,12/30/2020 14:39,Vancouver Branch,01/16/2021 14:34,H
437097,Rabbit,16.99,0,16.99,0,Stray,07/05/2017 14:44,East Kootenay Branch,07/22/2017 14:28,H
444468,Rabbit,16.98,0,16.98,0,Owner Surrender,09/27/2017 13:44,Abbotsford Branch,10/14/2017 13:12,H
526945,Rabbit,16.98,0,16.98,1,Agency / Shelter,04/14/2021 13:21,Alberni-Clayoquot Branch,05/01/2021 12:54,H
526946,Rabbit,16.98,0,16.98,1,Agency / Shelter,04/14/2021 13:21,Alberni-Clayoquot Branch,05/01/2021 12:54,H
504732,Rabbit,16.98,0,16.98,3,Owner Surrender,01/07/2020 17:07,Victoria Branch,01/24/2020 16:43,UU
511073,Rabbit,222.97,206.01,16.96,0,ACO Impound,05/26/2020 20:52,Burnaby Branch,01/05/2021 15:22,H
423757,Rabbit,16.91,0,16.91,1,Owner Surrender,01/17/2017 12:43,Vernon & District Branch,02/03/2017 10:31,H
510413,Rabbit,16.88,0,16.88,2,Stray,05/12/2020 16:13,Vancouver Branch,05/29/2020 13:14,H
439337,Rabbit,16.87,0,16.87,0,Stray,07/31/2017 17:16,Victoria Branch,08/17/2017 14:12,TR
426404,Rabbit,16.86,0,16.86,,Stray,02/24/2017 14:29,Cowichan & District Branch,03/13/2017 11:03,H
522753,Rabbit,16.81,0,16.81,0,Owner Surrender,01/13/2021 15:32,Vancouver Branch,01/30/2021 11:05,H
452270,Rabbit,61.8,45.12,16.68,4,Owner Surrender,01/11/2018 15:30,Victoria Branch,03/14/2018 10:41,TM
492986,Rabbit,20.17,3.91,16.26,0,Owner Surrender,07/24/2019 09:43,East Kootenay Branch,08/13/2019 13:47,TR
413814,Rabbit,190.06,173.86,16.2,0,Stray,09/10/2016 13:00,Abbotsford Branch,03/19/2017 14:33,H
503926,Rabbit,16.18,0,16.18,2,Owner Surrender,12/19/2019 12:08,Victoria Branch,01/04/2020 16:26,H
483597,Rabbit,16.1,0,16.1,2,Owner Surrender,03/23/2019 12:15,Maple Ridge Branch,04/08/2019 14:45,TR
505633,Rabbit,50.01,33.93,16.08,3,Owner Surrender,01/22/2020 15:46,Abbotsford Branch,03/12/2020 16:07,TR
530190,Rabbit,62.95,46.9,16.05,0,Stray,06/13/2021 16:45,West Vancouver Branch,08/15/2021 15:31,TR
530191,Rabbit,62.95,46.9,16.05,0,Stray,06/13/2021 16:45,West Vancouver Branch,08/15/2021 15:31,TR
537679,Rabbit,35.1,19.08,16.03,3,Stray,10/20/2021 12:04,Victoria Branch,11/24/2021 14:33,H
527474,Rabbit,16,0,16,1,Owner Surrender,04/24/2021 14:01,Campbell River Branch,05/10/2021 14:01,TM
